"filename", "language", "Python", "XML", "JSON", "SCSS", "Markdown", "comment", "blank", "total"
"h:\QssEditor\ElemQssEditor.ui", "XML", 0, 596, 0, 0, 0, 0, 1, 597
"h:\QssEditor\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1
"h:\QssEditor\codeeditor.py", "Python", 264, 0, 0, 0, 0, 80, 81, 425
"h:\QssEditor\main.py", "Python", 14, 0, 0, 0, 0, 0, 5, 19
"h:\QssEditor\resource\qrc\mainQrc.qrc", "XML", 0, 41, 0, 0, 0, 0, 1, 42
"h:\QssEditor\resource\qrc\mainQrc_rc.py", "Python", 3572, 0, 0, 0, 0, 6, 11, 3589
"h:\QssEditor\resource\qss\MainWindow_DarkStyle.scss", "SCSS", 0, 0, 0, 349, 0, 10, 59, 418
"h:\QssEditor\resource\qss\buttons.scss", "SCSS", 0, 0, 0, 18, 0, 2, 1, 21
"h:\QssEditor\resource\qss\common.scss", "SCSS", 0, 0, 0, 62, 0, 45, 22, 129
"h:\QssEditor\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"h:\QssEditor\src\demoLogic.py", "Python", 28, 0, 0, 0, 0, 0, 12, 40
"h:\QssEditor\src\editormain.py", "Python", 228, 0, 0, 0, 0, 12, 42, 282
"h:\QssEditor\test\buttons.scss", "SCSS", 0, 0, 0, 32, 0, 2, 2, 36
"h:\QssEditor\test\common.scss", "SCSS", 0, 0, 0, 62, 0, 45, 22, 129
"h:\QssEditor\ui\ElemQssEditor.py", "Python", 449, 0, 0, 0, 0, 7, 8, 464
"h:\QssEditor\ui\ElemQssEditor.ui", "XML", 0, 1047, 0, 0, 0, 0, 1, 1048
"h:\QssEditor\ui\ElemQssEditor_ui.py", "Python", 468, 0, 0, 0, 0, 18, 150, 636
"h:\QssEditor\ui\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"h:\QssEditor\ui\demoUI.py", "Python", 134, 0, 0, 0, 0, 7, 8, 149
"h:\QssEditor\ui\demoUI.ui", "XML", 0, 236, 0, 0, 0, 0, 1, 237
"h:\QssEditor\ui\homepage.py", "Python", 78, 0, 0, 0, 0, 7, 8, 93
"h:\QssEditor\ui\homepage.ui", "XML", 0, 220, 0, 0, 0, 0, 1, 221
"h:\QssEditor\ui\homepage_ui.py", "Python", 86, 0, 0, 0, 0, 10, 42, 138
"h:\QssEditor\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"h:\QssEditor\utils\sassHighLight.json", "JSON", 0, 0, 279, 0, 0, 0, 0, 279
"h:\QssEditor\utils\sassHighLight.py", "Python", 34, 0, 0, 0, 0, 118, 16, 168
"h:\QssEditor\utils\shortCutKeys.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 17
"h:\QssEditor\utils\shortCutKeys.py", "Python", 9, 0, 0, 0, 0, 0, 6, 15
"h:\QssEditor\widgets\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"h:\QssEditor\widgets\codeeditor.py", "Python", 264, 0, 0, 0, 0, 80, 81, 425
"h:\QssEditor\widgets\qcodeeditor.py", "Python", 100, 0, 0, 0, 0, 20, 35, 155
"Total", "-", 5728, 2140, 296, 523, 1, 469, 620, 9777
